Customer ID,Time of Bet,Live Bet,Sport,Competition,Region,Teams Involved,Type of Bet
903234,2024-12-14 17:43:00,False,Soccer,Serie A,Italy,Hellas Verona - AC Milan,Both Teams to Score
611143,2024-12-12 22:46:00,False,Soccer,Segunda Division,Spain,Eibar - Real Zaragoza,Goals Over/Under - PRELIVE
620872,2024-10-03 09:10:00,False,Soccer,Conference League,Conference League,Fiorentina - Linzer ASK,Full Time Result - PRELIVE
54766,2024-12-18 04:22:00,True,Soccer,Premier League,England,Manchester City - Manchester United,Full Time Result - LIVE
903170,2025-01-09 09:50:00,False,Soccer,Premier League,England,Southampton - Tottenham,Full Time Result - PRELIVE
875576,2024-11-06 08:09:00,True,Soccer,Premier League,Azerbaijan,Sabail FC - FK Qarabag,1st Half - Goals Over/Under
755817,2025-01-19 10:50:00,False,Soccer,Serie A,Italy,Monza - Juventus,Double Chance
752994,2024-11-13 16:09:00,False,Basketball,NBA,NBA,BOS Celtics - LA Clippers,Match Winner - PRELIVE
279890,2024-11-07 10:12:00,False,Soccer,Premier League International Cup,Europe,Brighton U21 - Anderlecht U21,Full Time Result - PRELIVE
446644,2024-10-27 16:18:00,False,Basketball,Elite League,Greece,Vikos BC - HANTH,Home Over/Under
870156,2025-01-18 15:43:00,False,Soccer,Premier League,England,Aston Villa - Crystal Palace,Goals Over/Under - PRELIVE
256380,2025-01-07 19:38:00,False,Basketball,NBA,NBA,CHI Bulls - BOS Celtics,Over/Under Additional
550206,2025-01-13 03:33:00,False,Soccer,Premier League,England,Tottenham - Wolves,Full Time Result - 0%
10276,2024-12-03 16:50:00,True,Basketball,Eurobasket 2025,Europe,Ukraine - Israel,Handicap Additional
553541,2024-10-19 15:38:00,True,Soccer,Ligue 1,Algeria,ES Setif - Paradou AC,Goals Over/Under - LIVE
150793,2024-12-04 12:42:00,True,Soccer,Serie A (2x4 mins),Еsoccer Battle,Fiorentina (lion) Esports - Juventus (cl1vlind) Esports,Goals Over/Under - LIVE
627466,2024-10-17 16:43:00,True,Soccer,Serie A (2x4 mins),Еsoccer Battle,Fiorentina (Senior) Esports  - Juventus (nikkitta) Esports,1st Half - Goals Over/Under
64168,2024-12-23 05:08:00,False,Soccer,LaLiga,Spain,LaLiga 2024/25 - Team Specials,COMPETITION - To Finish in Top 4
95375,2024-12-30 16:36:00,False,Soccer,Bundesliga,Germany,Bundesliga 2024/25 - Team Specials,COMPETITION - To Finish in Top 6
36335,2024-11-28 11:00:00,False,Soccer, Liga Profesional,Argentina,CA San Lorenzo - CA Belgrano,1st Half - Goals Over/Under
934625,2024-10-03 14:21:00,True,Soccer,U20 League,Myanmar,Yadanarbon FC U20 - ISPE FC U20,Goals Over/Under - LIVE
891897,2024-10-31 02:24:00,False,Soccer,League One,England,Bristol Rovers - Wrexham FC,Goals Over/Under - PRELIVE
581511,2024-12-14 09:11:00,True,Soccer,Championship,England,Portsmouth - Norwich,Goals Over/Under - LIVE
627466,2024-10-30 16:41:00,False,Soccer,FA Trophy,England,Gainsborough - Rushall Olympic,Goals Over/Under - PRELIVE
875576,2024-12-05 15:19:00,True,Soccer,Super League,Zambia,Mutondo Stars - Napsa Stars FC,1st Half - Goals Over/Under
498006,2024-12-09 08:49:00,True,Soccer,Cup,Romania,AFC Uta Arad - Farul Constanta,Home Over/Under
321749,2024-11-12 13:57:00,False,Soccer,Ligue 1,France,Paris Saint Germain - Nantes,Full Time Result - PRELIVE
230905,2024-10-08 00:38:00,False,Soccer,Serie A,Italy,Monza - Udinese Calcio,Goals Over/Under - PRELIVE
176637,2024-10-08 11:54:00,True,Soccer,U19 Elite Division,Israel,Maccabi Haifa U19 - MS Ashdod U19,1st Half - Goals Over/Under
592561,2024-11-04 09:22:00,True,Soccer,Premier League,England,Ipswich - Bournemouth,1st Half - Goals Over/Under
349695,2024-11-18 12:05:00,True,Soccer,Bundesliga,Germany,Union Berlin - Bayer Leverkusen,Away Over/Under
985784,2024-12-14 15:19:00,True,Soccer,Super League 1,Greece,Aris Thessaloniki - Panserraikos,Penalty Scored -NEW-
914953,2024-12-26 13:03:00,True,Soccer,Eredivisie,Netherlands,Sparta Rotterdam - Ajax,Full Time Result - PRELIVE
256380,2024-12-27 19:53:00,True,Soccer,League U21 ,Algeria,MC Oran U21 - US Biskra U21,Goals Over/Under - LIVE
338431,2024-12-02 06:03:00,True,Soccer,Reserve League,Uruguay,CA Boston River II - Montevideo Wanderers II,Full Time Result - LIVE
986589,2024-10-24 19:53:00,False,Soccer,Championship,England,Portsmouth - Norwich,Both Teams to Score
375336,2024-10-29 13:19:00,True,Soccer,Amateur Cup,N. Ireland,Willowbank FC - Derriaghy CC FC,Half Time Result
717815,2025-01-10 23:40:00,False,Soccer,Europa League,Europa League,Athletic Bilbao - Elfsborg,Full Time Result - PRELIVE
553541,2024-12-04 10:21:00,False,Basketball,NBA,NBA,PHI 76ers - CHA Hornets,Player Over/Under Assists
717815,2024-12-16 22:52:00,False,Basketball,NBA,NBA,MIA Heat - TOR Raptors,Player Over/Under Assists
570878,2024-12-12 09:15:00,False,Soccer,Premier League,England,Brighton - Brentford,Halftime/Fulltime - PRELIVE
581511,2025-01-10 19:16:00,False,Soccer,Champions League,Champions League,Brest - PSV Eindhoven,Goals Over/Under - PRELIVE
553541,2024-11-15 07:19:00,False,Soccer,Super Liga,Serbia,Crvena Zvezda - Cukaricki,Goals Over/Under - PRELIVE
934625,2025-01-04 01:08:00,False,Soccer,Super League 1,Greece,Asteras Tripolis - PAOK Thessaloniki,Full Time Result - 0%
306995,2024-12-29 01:33:00,False,Soccer,  Super League,Switzerland,Lugano - FC Lausanne-Sport,Full Time Result & Goals Over/Under 
309380,2024-10-27 08:08:00,False,Soccer,Serie B,Italy,Cittadella - Juve Stabia,Full Time Result - PRELIVE
702749,2024-11-07 08:55:00,False,Soccer,Professional Development League,England,Sheffield United U21 - Coventry U21,Goals Over/Under - PRELIVE
702749,2024-11-20 19:35:00,False,Basketball,NBA,NBA,HOU Rockets - OKC Thunder,Player to achieve Double-Double
447838,2025-01-15 12:22:00,True,Basketball,Division B,Tunisia,Club Sportif Hammam Sousse - Stade Nabeulien,Handicap
498006,2025-01-19 07:50:00,True,Basketball,Cup ,Chile,CD Puente Alto - Colo Colo,Handicap
941497,2024-12-14 02:29:00,False,Soccer,Premier League,England,Brighton - Brentford,Double Chance
479893,2024-11-16 20:19:00,False,Soccer,Serie A,Italy,Inter - Como 1907,Full Time Result - PRELIVE
306995,2024-12-30 11:24:00,True,Soccer, Liga Profesional,Argentina,CA Belgrano - CS Independiente Rivadavia,1st Half - Goals Over/Under
570878,2024-11-05 19:40:00,False,Soccer,Serie A,Italy,Cagliari - Inter,Full Time Result - 0%
903234,2024-10-12 14:52:00,True,Soccer,Pro League ,Saudi Arabia,Al Kholood - Al-Qadsiah,1st Half - Goals Over/Under
892592,2024-11-14 18:03:00,False,Soccer,Europa League,Europa League,Malmo - Galatasaray,Full Time Result - 0%
385329,2024-11-28 13:41:00,True,Soccer,Premier League,England,Wolves - Bournemouth,Full Time Result - LIVE
28150,2024-12-17 18:31:00,False,Soccer,Conference League,Conference League,SK Rapid Vienna - Shamrock Rovers,Goals Over/Under - PRELIVE
131456,2024-10-28 11:33:00,False,Basketball,NBA,NBA,NO Pelicans - HOU Rockets,Match Winner - PRELIVE
498006,2024-11-28 14:07:00,False,Soccer,Champions League,Champions League,Inter - RB Leipzig,Halftime/Fulltime - PRELIVE
102299,2024-10-01 23:08:00,False,Basketball,Euroleague,Euroleague ,Partizan - Panathinaikos,Handicap
934625,2024-12-09 10:41:00,False,Soccer,Ligue 2,Algeria,JS El Biar - RC Kouba,Full Time Result - PRELIVE
150793,2024-12-10 01:55:00,False,Soccer,Championship,England,Sheffield Utd - Sunderland,1st Half - Goals Over/Under
446644,2025-01-01 03:54:00,True,Soccer,Ligue 1,France,Strasbourg - Reims,Goals Over/Under - LIVE
611143,2024-12-29 08:51:00,True,Soccer,UEFA Youth League,Europe,Lokomotiva Zagreb U19 - Farul Constanta U19,Goals Over/Under - LIVE
57107,2024-10-10 14:15:00,False,Soccer,Premier League,England,Newcastle - Aston Villa,Away Over/Under
823794,2024-11-18 06:07:00,False,Soccer,Premier League,England,Crystal Palace - Manchester City,Full Time Result - 0%
159281,2024-11-04 15:45:00,True,Soccer,2. Bundesliga,Germany,Preussen Munster - Magdeburg,Goals Over/Under - LIVE
36335,2024-10-01 22:52:00,True,Soccer,Champions League,Champions League,Sporting CP - Arsenal,Goals Over/Under - PRELIVE
903234,2024-11-24 02:11:00,True,Soccer,Eliteserien,Norway,Moss FK - FK Haugesund,Goals Over/Under - LIVE
291252,2025-01-16 05:08:00,False,Soccer,Liga 1,Romania,Sepsi - Gloria Buzau,Goals Over/Under - PRELIVE
131091,2024-10-05 22:54:00,True,Soccer,Super League 1,Greece,Panserraikos - PAOK Thessaloniki,Goals Over/Under - PRELIVE
131091,2024-10-05 12:27:00,False,Water Polo,Champions League,Europe,PVK Jadran  - Vasas,Match Result
737548,2024-12-20 17:50:00,False,Soccer,Stars League,Qatar,Al-Arabi Doha - Umm-Salal SC,Goals Over/Under - PRELIVE
842090,2024-12-07 00:06:00,False,Soccer,Premier League (2x4 mins),Еsoccer Battle,Manchester United (Maslja) Esports - Liverpool FC (Boki) Esports,Goals Over/Under - PRELIVE
479893,2024-12-28 09:20:00,False,Soccer,J League,Japan,Vissel Kobe - Shonan Bellmare,Both Teams to Score
937148,2024-11-14 12:02:00,False,Soccer,FA Cup (2x4 mins),Еsoccer Battle,Leicester (djodjo) Esports - Wolves (Ziks) Esports,Goals Over/Under - PRELIVE
28150,2024-11-29 23:17:00,False,Soccer,Oberliga,Germany,SV Kirchanschoring - SV Schalding Heining,Goals Over/Under - PRELIVE
57107,2024-11-30 12:04:00,False,Soccer,FA Cup (2x4 mins),Еsoccer Battle,Leicester (Qnko) Esports - Tottenham Hotspur (dani) Esports,Goals Over/Under - PRELIVE
892592,2024-10-29 15:15:00,False,Soccer,Super League 1,Greece,Panathinaikos - Atromitos,Both Teams to Score
279890,2025-01-16 07:58:00,False,Soccer,LaLiga,Spain,Las Palmas - Mallorca,Full Time Result - PRELIVE
755817,2024-12-06 00:08:00,False,Basketball,Euroleague,Euroleague ,FC Bayern Munich - Baskonia Vitoria,Player Over/Under Points 
570878,2024-10-28 21:01:00,False,Soccer,Tercera Division RFEF,Spain,Sporting Gijon B - CD Colunga,Full Time Result - PRELIVE
592561,2024-12-09 17:35:00,True,Soccer,GT League (2x6 mins),Еsoccer,FC Inter Milano (Raul) Esports - SSC Napoli (Denver) Esports,Full Time Result - PRELIVE
95375,2024-12-16 17:41:00,True,Soccer,Premier League 2,England,Brighton U21 - Tottenham U21,1st Half - Correct Score
291252,2024-10-04 19:02:00,False,Soccer,Premier League,England,Southampton - West Ham,Goals Over/Under - PRELIVE
19729,2024-10-30 01:04:00,True,Soccer,UEFA Youth League,Europe,Inter Milano U19 - RB Leipzig U19,Double Chance
543896,2024-12-26 14:36:00,False,Basketball,NBA,NBA,ATL Hawks - DAL Mavericks,Player Over/Under 3P Attempted
527591,2024-12-12 22:51:00,True,Basketball,NBA,NBA,MIL Bucks - ATL Hawks,First Half Over/Under
875576,2024-11-29 01:13:00,False,Soccer,Bundesliga,Germany,Mainz 05 - Bayern Munich,Both Teams to Score & Goals Over/Under
87287,2025-01-07 11:35:00,True,Soccer,Champions League,Champions League,Crvena Zvezda - VfB Stuttgart,Double Chance
19729,2024-11-07 18:50:00,False,Soccer,Premier League,England,Fulham - Brighton,Corners Match Result
184030,2025-01-18 18:22:00,True,Soccer,LaLiga,Spain,Atletico Madrid - Getafe,1st Half - Goals Over/Under
54766,2024-10-09 23:01:00,False,Soccer,Premier League,England,Manchester City - Nottingham Forest,Halftime/Fulltime - PRELIVE
256380,2024-12-24 04:25:00,False,Soccer,Champions League,Champions League,Inter - RB Leipzig,Both Teams to Score
570878,2024-12-18 09:18:00,False,Soccer,Eerste Divisie,Netherlands,Emmen - De Graafschap,Full Time Result - PRELIVE
14185,2024-12-22 20:12:00,True,Soccer,Championship,England,Luton Town - Swansea,Full Time Result - PRELIVE
63843,2024-12-19 00:47:00,True,Soccer,Championship,England,Norwich - Burnley,Goals Over/Under - LIVE
349695,2025-01-03 20:31:00,False,Soccer,Serie A,Italy,Atalanta - Empoli,Full Time Result - PRELIVE
131091,2024-12-31 10:23:00,False,Soccer,Southern Premier League - South,England,Taunton Town FC - Merthyr,Full Time Result - PRELIVE
46365,2025-01-10 16:49:00,False,Basketball,Euroleague,Euroleague ,Paris - Real Madrid,Player Over/Under Assists
378892,2024-12-26 23:08:00,True,Soccer,Bundesliga,Germany,Mainz 05 - Bayern Munich,Both Teams to Score
187935,2024-10-08 13:54:00,False,Soccer,Super League 1,Greece,Lamia - AEK Athens,Full Time Result - PRELIVE
447838,2024-11-26 10:40:00,False,Soccer,Champions League,Champions League,Aston Villa - Juventus,Red Cards Over/Under
149315,2024-12-15 07:00:00,True,Soccer,  Super League,Switzerland,St. Gallen - Basel,Goals Over/Under - LIVE
752994,2024-11-06 22:07:00,False,Basketball,NBA,NBA,WAS Wizards - CHA Hornets,Player Over/Under Points 
550206,2025-01-05 13:48:00,False,Soccer,Europa League,Europa League,Olympiacos - Twente,Yellow Cards Over/Under
611143,2024-12-01 08:19:00,False,Basketball,NBA,NBA,MEM Grizzlies - NO Pelicans,Player Over/Under Points 
755817,2024-12-20 09:47:00,False,Basketball,Euroleague,Euroleague ,Fenerbahce - Olimpia Milano,Halftime/Fulltime (Regular Time)
823794,2024-10-10 00:49:00,False,Soccer,Eredivisie,Netherlands,AZ Alkmaar - Twente,Both Teams to Score
581511,2025-01-12 04:56:00,False,Soccer,Pro League,Belgium,K Beerschot VA - Cercle Brugge,Goals Over/Under - PRELIVE
293817,2024-12-28 03:48:00,False,Soccer,Bundesliga,Germany,VfB Stuttgart - Union Berlin,Full Time Result - PRELIVE
986589,2025-01-07 07:30:00,True,Soccer,Champions League,Champions League,Monaco - Benfica,Full Time Result - LIVE
95375,2024-12-30 20:09:00,False,Soccer,Premier League,England,Everton - Chelsea,Goals Over/Under - PRELIVE
291252,2024-10-20 02:17:00,False,Basketball,Euroleague,Euroleague ,Panathinaikos - AS Monaco,Player Over/Under Assists
941497,2024-12-21 03:16:00,False,Soccer,Premier League,Israel,Hapoel Katamon Jerusalem FC - Maccabi Tel-Aviv,"Both Teams to Score or Over 2,5"
63843,2024-11-05 07:25:00,False,Soccer,Champions League,Champions League,Atletico Madrid - Slovan Bratislava,Home Corners Over/Under
63843,2024-10-14 05:27:00,True,Soccer,Super League 1,Greece,Kallithea - Olympiacos,Full Time Result - LIVE
356562,2025-01-18 09:44:00,False,Soccer,Super League 1,Greece,OFI - Olympiacos,Correct Score Extended - PRELIVE
875576,2024-10-16 22:16:00,False,Soccer,Championship,England,Norwich - Plymouth,Goals Over/Under - PRELIVE
627466,2024-11-14 17:59:00,True,Soccer,Eredivisie,Netherlands,PSV Eindhoven - Feyenoord,Both Teams to Score & Goals Over/Under
339141,2024-10-09 21:01:00,False,Soccer,Super Liga,Serbia,Radnicki 1923 Kragujevac - FK IMT,Double Chance
891897,2024-10-15 08:06:00,True,Soccer,Pro League ,Saudi Arabia,AL Hilal Riyadh - Al-Raed,Anytime Correct Score
268097,2024-11-23 23:27:00,False,Soccer,LaLiga,Spain,Barcelona - Atletico Madrid,Corners Over/Under
87287,2024-12-16 16:04:00,False,Soccer,Super League 1,Greece,Aris Thessaloniki - Atromitos,Goals Over/Under - PRELIVE
903234,2025-01-10 20:14:00,False,Soccer,Premier League (2x4 mins),Еsoccer Battle,Manchester United (Fratello) Esports - Liverpool (borees) Esports,Full Time Result - PRELIVE
447838,2024-10-06 23:51:00,True,Soccer,Primeira Liga,Portugal,Boavista - Farense,Full Time Result - LIVE
620872,2024-12-03 16:03:00,False,Soccer,DFB Pokal,Germany,Karlsruher SC - FC Augsburg,Full Time Result - PRELIVE
57107,2024-12-06 21:17:00,False,Soccer,Champions League,Champions League,Celtic - Club Brugge,Full Time Result - 0%
102299,2024-12-25 22:13:00,False,Soccer,National League,England,Sutton Utd - Tamworth,Both Teams to Score
10276,2024-10-27 09:41:00,True,Soccer,Premier League,England,Nottingham Forest - Aston Villa,Goals Over/Under - LIVE
611143,2024-12-23 09:12:00,True,Soccer,International (2x6 mins),Еsoccer Battle,Germany (Elmagico) Esports - Italy (Rodja) Esports,Full Time Result - LIVE
256380,2025-01-06 05:30:00,False,Soccer,LaLiga,Spain,Real Madrid - Getafe,1st Half - Goals Over/Under
878170,2024-11-10 02:58:00,False,Soccer,UEFA Youth League,Europe,Red Bull Salzburg U19 - Paris Saint Germain U19,1st Half - Goals Over/Under
300431,2024-10-11 05:51:00,False,Soccer,Eredivisie,Netherlands,Ajax - Utrecht,Full Time Result - PRELIVE
880268,2024-11-23 20:38:00,False,Soccer,Premier League,England,Nottingham Forest - Ipswich,Full Time Result - PRELIVE
150659,2024-12-24 15:21:00,False,Soccer, Liga Profesional,Argentina,CA Barracas Central - CA Tigre,Goals Over/Under - PRELIVE
9155,2024-12-31 09:11:00,True,Soccer,U19 League,Turkey,Bodrum FK U19 - Hatayspor U19,Full Time Result - LIVE
135212,2024-11-11 12:02:00,False,Soccer,Bundesliga,Germany,RB Leipzig - Eintracht Frankfurt,Goals Over/Under - PRELIVE
702749,2025-01-03 01:39:00,False,Soccer,Primeira Liga,Portugal,CD Nacional Madeira - Boavista,Full Time Result - PRELIVE
385329,2024-10-18 01:28:00,False,Soccer,Ligue 2,France,USL Dunkerque - Ajaccio,Goal N until X Minute Home
737548,2024-11-27 09:23:00,False,American Football,NFL ,USA,LA Chargers - BAL Ravens,Over/Under
550206,2024-10-14 23:13:00,False,Basketball,Euroleague,Euroleague ,Anadolu Efes - Panathinaikos,Player Over/Under Assists
291252,2024-10-18 05:22:00,True,Soccer,LaLiga,Spain,Espanyol - Valencia,Full Time Result - LIVE
230905,2024-12-08 13:31:00,False,Soccer,Premier League,England,Tottenham - Fulham,"Both Teams to Score or Over 2,5"
941497,2024-11-09 15:05:00,False,Soccer,2. Bundesliga,Germany,SV Darmstadt 98 - Preussen Munster,Goals Over/Under - PRELIVE
570878,2025-01-19 21:41:00,False,Soccer,Premier League,England,Manchester City - Nottingham Forest,Both Teams to Score
941497,2024-11-30 07:07:00,False,Soccer,League One,England,Peterborough - Reading,Both Teams to Score & Goals Over/Under
87287,2025-01-18 05:39:00,False,Soccer,Serie B,Italy,Spezia - Mantova,Home Over/Under
737548,2024-10-18 03:55:00,True,Soccer,Parva Liga,Bulgaria,PFC Botev Plovdiv - Levski 2005 Krumovgrad,1st Half - Corners Over/Under
256380,2024-12-06 19:36:00,False,Basketball,Euroleague,Euroleague ,Partizan - Panathinaikos,Player Over/Under Rebounds
986589,2024-10-03 01:11:00,False,Basketball,Euroleague,Euroleague ,Panathinaikos - Baskonia Vitoria,Player Over/Under Points 
527591,2024-12-09 09:17:00,True,Soccer,Premier League,England,Chelsea - Aston Villa,Full Time Result - LIVE
36335,2025-01-11 17:59:00,False,Soccer,LaLiga,Spain,Atletico Madrid - Getafe,Goals Over/Under - PRELIVE
